# Searching for station nr 94693 in ghcnm.tmax.v3.qca v3.2.2.20140628
# MILDURA AIRPO                 (AUSTRALIA)
# coordinates: -34.22N,  142.08E,      52.0m (prob:   48m)
# WMO station code: 94693 MILDURA_AIRPO                 
# tmax [Celsius] daily maximum temperature (adjusted) from GHCN-M 
 1995 -999.9 -999.9   26.7   21.0   17.5   15.8   13.7   19.6   20.5   22.7   28.2   29.0
 1996   31.2   30.4 -999.9   21.4   19.9   16.8   14.5   16.8   20.1   24.4   25.9   29.2
 1997   32.5 -999.9   26.4   24.4   18.3   16.3   14.8   16.2   19.0   24.8   29.7   31.5
 1998   31.8   31.7   29.1   21.5   19.8   15.9   13.8   18.4   21.5   23.1   26.9   31.4
 1999   35.3   31.3   27.3 -999.9   20.1 -999.9 -999.9   17.4 -999.9 -999.9 -999.9   28.3
 2000   31.1   33.6   28.4   23.7   17.8   15.8   15.9 -999.9   21.3   22.7   30.1   32.0
 2001   37.1   34.1   28.0   24.0   19.9   16.7   15.3 -999.9 -999.9   21.8   26.5   27.5
 2002   31.3   30.3   28.6   26.3   20.6   17.0   17.5   18.2   22.0   25.1   29.8   32.0
 2003   33.8   32.4   27.0   25.1   19.6   16.5   15.9   16.1   20.6   21.7   29.9   32.4
 2004   30.5   34.5   29.3   25.3   18.9   16.2   15.0   18.2   20.6   27.0   27.4   30.3
 2005   32.4   30.2   28.4   27.5   21.5   17.4   16.0   18.4   19.7   23.4   28.3   32.2
 2006   36.4   32.1   30.2   21.2   17.8   15.3   15.4   19.2   22.9   26.3   29.8   31.1
 2007   32.3   34.6   28.9   25.6   20.9   14.2   15.7   20.0   22.4   25.7   30.5   31.8
 2008   33.7   30.0   31.7   23.3   19.8   17.4   15.1   15.6   22.1   26.6   26.8   28.7
 2009   35.3   33.8   28.6   23.6   19.1   16.1   16.2   19.6   22.1   24.3   32.5   31.5
 2010   34.7   33.6   28.9   24.3   19.5   15.6   15.0   15.7   18.3   23.5   26.2   28.3
 2011   32.0   30.2   26.0   23.2   17.7   17.1   15.9   19.4 -999.9 -999.9 -999.9   30.5
 2012   32.7   31.3   26.7   24.8   19.8   16.2   16.2   17.7   22.6   26.1   30.8   32.4
 2013   34.7   34.2   30.3   25.4   20.3   16.5   17.3   19.6   25.5   25.5   27.7   32.0
 2014   35.7   33.5   29.8   23.7   21.2 -999.9 -999.9 -999.9 -999.9 -999.9 -999.9 -999.9
